order_id,customer_id,order_date,status
124,1284,2023-04-16,DELIVERED
125,1382,2022-12-19,DELIVERED
126,1236,2024-08-27,SHIPPED
127,1920,2023-11-15,DELIVERED
128,1533,2024-07-13,DELIVERED
129,786,2023-06-13,DELIVERED
130,232,2023-12-17,DELIVERED
131,1612,2024-01-21,CREATED
132,1600,2023-04-16,CANCELLED
133,1175,2024-07-05,DELIVERED
134,1879,2022-01-10,DELIVERED
135,1630,2024-07-26,SHIPPED
136,1261,2024-03-11,DELIVERED
137,1056,2022-04-30,SHIPPED
138,581,2022-04-03,DELIVERED
139,1265,2025-03-28,DELIVERED
140,650,2022-10-25,CANCELLED
141,186,2022-04-27,CANCELLED
142,1971,2024-12-30,SHIPPED
143,1369,2023-10-21,DELIVERED
144,1182,2024-04-23,CREATED
145,1482,2023-02-11,PENDING
146,1812,2022-11-16,CREATED
147,1983,2024-10-11,DELIVERED
148,1120,2022-12-02,DELIVERED
149,1622,2025-01-27,CANCELLED
150,1554,2023-08-01,DELIVERED
151,916,2023-09-17,DELIVERED
152,1963,2022-08-01,DELIVERED
153,1627,2023-01-05,CREATED
154,1097,2022-04-08,DELIVERED
155,371,2024-05-17,DELIVERED
156,1062,2024-07-20,DELIVERED
157,601,2023-07-25,SHIPPED
158,142,2023-04-28,SHIPPED
159,1479,2027-05-03,DELIVERED
160,891,2023-01-08,DELIVERED
161,1191,2023-03-04,SHIPPED
162,314,2023-07-25,DELIVERED
163,497,2024-05-14,DELIVERED
164,144,2024-01-08,DELIVERED
165,1888,2023-05-07,CANCELLED
166,1347,2024-05-07,SHIPPED
167,476,2022-07-29,DELIVERED
168,614,2023-05-10,SHIPPED
169,1656,2024-10-04,CREATED
170,936,2023-12-23,DELIVERED
171,1282,2022-06-06,SHIPPED
172,1142,2024-09-26,DELIVERED
173,654,2023-09-04,SHIPPED
174,475,2023-12-26,DELIVERED
175,59,2022-12-05,DELIVERED
176,156,2022-12-17,CANCELLED
177,85,2023-10-10,DELIVERED
178,1241,2024-12-13,DELIVERED
179,1419,2024-12-26,CANCELLED
180,497,2022-06-12,DELIVERED
181,1138,2024-07-31,CREATED
182,327,2022-02-04,SHIPPED
183,601,2022-09-17,DELIVERED
184,279,2024-05-25,CANCELLED
185,295,2024-12-19,DELIVERED
186,13,2024-11-01,CANCELLED
187,897,,CANCELLED
188,1688,2023-03-31,SHIPPED
189,1958,2024-01-25,DELIVERED
190,1332,2022-09-22,CANCELLED
191,1572,2022-03-16,CREATED
192,1197,2024-08-20,SHIPPED
193,1303,2022-09-17,SHIPPED
194,1867,2022-02-16,SHIPPED
195,1989,2022-11-09,SHIPPED
196,1488,2023-04-02,CANCELLED
197,1330,2022-03-21,SHIPPED
198,1749,2022-05-22,DELIVERED
199,819,2024-07-31,SHIPPED
200,779,2022-01-21,SHIPPED
201,542,2024-06-02,DELIVERED
202,1737,2022-05-25,CANCELLED
203,1095,2027-08-08,CANCELLED
204,490,2023-06-21,CANCELLED
205,1964,2022-11-23,DELIVERED
206,1218,2023-10-24,SHIPPED
207,1761,2023-05-17,DELIVERED
208,1034,2024-10-18,CREATED
209,729,2024-05-18,DELIVERED
210,156,2022-03-20,DELIVERED
211,424,2024-07-25,SHIPPED
212,265,2024-07-10,DELIVERED
213,1897,2024-02-20,DELIVERED
214,1878,2023-08-29,DELIVERED
215,760,2024-01-24,CREATED
216,1289,2024-03-03,CREATED
217,1053,2024-01-17,CANCELLED
218,460,2023-12-08,CANCELLED
219,1837,2024-01-22,CREATED
220,1585,2024-12-20,DELIVERED
221,1332,2023-10-04,CREATED
222,614,2024-02-06,DELIVERED
223,419,2022-03-24,DELIVERED
224,1276,2023-06-21,DELIVERED
225,615,2022-04-27,SHIPPED
226,1482,2022-07-07,DELIVERED
227,20,2022-12-21,DELIVERED
228,1712,2022-02-15,DELIVERED
229,1130,2022-03-21,DELIVERED
230,650,2025-03-09,CREATED
231,1871,2023-06-02,CREATED
232,666,2023-09-12,DELIVERED
233,1980,2022-08-22,SHIPPED
234,537,2024-10-25,DELIVERED
235,1405,2024-06-04,DELIVERED
236,381,2024-10-07,SHIPPED
237,54,2022-12-05,DELIVERED
238,459,2022-03-22,CREATED
239,1266,2024-12-12,CANCELLED
240,144,2025-03-30,DELIVERED
241,240,2025-03-18,CREATED
242,144,2023-03-21,SHIPPED
243,424,2022-07-12,DELIVERED
244,1283,2024-03-27,DELIVERED
245,1425,2022-05-22,CANCELLED
246,1123,2025-02-27,CREATED
247,596,2022-03-15,SHIPPED
248,1601,2022-11-22,CREATED
249,540,2024-01-24,DELIVERED
250,973,2024-03-11,SHIPPED
251,1441,2022-11-11,DELIVERED
252,1691,2024-02-12,DELIVERED
253,1357,2024-10-15,CANCELLED
254,1747,2022-04-23,SHIPPED
255,1989,2022-03-05,CANCELLED
256,1581,2023-02-26,CREATED
257,1217,2023-07-30,DELIVERED
258,1406,2023-05-18,CANCELLED
259,945,2022-05-02,CREATED
260,19,2022-02-24,DELIVERED
261,1146,2024-05-11,SHIPPED
262,1637,2024-04-11,SHIPPED
263,1426,2025-01-14,DELIVERED
264,499,2024-08-16,SHIPPED
265,292,2024-12-10,CANCELLED
266,1405,2024-02-05,DELIVERED
267,1783,2022-08-19,SHIPPED
268,1601,2022-02-19,CANCELLED
269,1539,2023-04-27,DELIVERED
270,1002,2023-02-05,DELIVERED
271,493,2024-12-25,CREATED
272,746,2024-11-28,SHIPPED
273,1512,2024-09-09,CANCELLED
274,181,2022-09-24,CREATED
275,346,2025-03-23,DELIVERED
276,619,2022-01-10,DELIVERED
277,163,2024-01-28,DELIVERED
278,1440,2024-02-16,CANCELLED
279,629,2024-03-02,CANCELLED
280,1058,2022-12-07,DELIVERED
281,1453,2023-07-07,DELIVERED
282,1026,2023-05-21,DELIVERED
283,1989,2023-04-20,DELIVERED
284,595,2023-07-13,DELIVERED
285,726,2024-04-20,PENDING
286,190,2024-04-27,DELIVERED
287,452,2024-12-06,DELIVERED
288,1415,2022-07-22,DELIVERED
289,1645,2023-03-02,DELIVERED
290,1792,2022-04-24,CANCELLED
291,1618,2023-02-01,SHIPPED
292,1399,2024-01-09,CREATED
293,1620,2023-06-16,CANCELLED
294,1672,2024-12-16,DELIVERED
295,971,2024-08-07,CREATED
296,1169,2023-11-09,DELIVERED
297,1662,2023-01-07,DELIVERED
298,877,2025-03-25,SHIPPED
299,1427,2024-09-01,DELIVERED
300,973,,SHIPPED
301,1906,2022-05-17,DELIVERED
302,1357,2023-08-06,DELIVERED
303,241,2024-04-18,DELIVERED
304,1863,2024-11-19,DELIVERED
305,95,,CREATED
306,257,2023-08-05,DELIVERED
307,1513,2023-05-06,CREATED
308,1160,2023-09-10,DELIVERED
309,1282,2023-05-18,SHIPPED
310,1667,2025-01-14,SHIPPED
311,967,2024-01-06,CANCELLED
312,1351,2023-03-03,CREATED
313,1306,2024-07-23,CANCELLED
314,1148,2022-09-24,CANCELLED
315,1967,2024-08-17,CANCELLED
316,150,2022-01-05,DELIVERED
317,156,2023-09-08,CANCELLED
318,1983,2022-07-31,CANCELLED
319,937,2024-01-14,DELIVERED
320,1003,2023-03-12,CANCELLED
321,1758,2023-11-21,CANCELLED
322,989,2023-08-22,DELIVERED
323,116,2024-08-18,DELIVERED
324,354,2023-11-16,CANCELLED
325,1137,2022-03-05,DELIVERED
326,1990,2022-05-04,DELIVERED
327,1109,2024-05-31,DELIVERED
328,1698,2025-03-15,DELIVERED
329,1553,2024-12-20,CREATED
330,387,2024-08-25,CREATED
331,916,2022-04-06,DELIVERED
332,1049,2024-05-03,CANCELLED
333,1188,2023-04-06,SHIPPED
334,72,2025-03-14,CANCELLED
335,1217,2022-11-13,DELIVERED
336,902,2024-04-18,CANCELLED
337,973,2023-08-10,DELIVERED
338,273,2024-05-24,DELIVERED
339,1045,2022-11-25,DELIVERED
340,1183,2023-12-18,CREATED
341,1567,2022-09-29,DELIVERED
342,1253,2023-04-08,CREATED
343,1852,2023-06-08,SHIPPED
344,495,2022-01-21,DELIVERED
345,1544,2023-06-13,DELIVERED
346,887,2024-11-20,SHIPPED
347,981,2024-01-24,CREATED
348,1297,2025-03-23,DELIVERED
349,1717,2023-03-06,DELIVERED
350,398,2022-10-06,DELIVERED
351,1092,2023-12-28,DELIVERED
352,954,2022-10-14,CANCELLED
353,362,2023-01-17,SHIPPED
354,470,2024-08-23,DELIVERED
355,1113,2023-10-02,CREATED
356,1522,2024-07-01,CREATED
357,1399,2022-09-11,DELIVERED
358,576,2024-01-22,DELIVERED
359,998,,DELIVERED
360,1214,2024-12-08,DELIVERED
361,1388,2022-08-21,DELIVERED
362,1831,2024-03-01,SHIPPED
363,1704,2022-10-23,CREATED
364,950,2022-11-19,DELIVERED
365,1688,2024-07-11,SHIPPED
366,1085,2024-01-13,DELIVERED
367,1139,2023-03-14,DELIVERED
368,1865,2024-08-17,CANCELLED
369,433,2022-06-14,DELIVERED
370,767,2024-05-11,CANCELLED
371,1490,,CREATED
372,1509,2024-12-09,DELIVERED
373,458,2023-09-02,DELIVERED
374,1182,2024-12-25,DELIVERED
375,183,2022-01-02,SHIPPED
376,781,2022-12-12,SHIPPED
377,1859,2024-06-23,SHIPPED
378,1237,2023-06-11,DELIVERED
379,1153,2023-12-14,SHIPPED
380,1357,2024-01-24,SHIPPED
381,110,2022-11-03,DELIVERED
382,1936,2024-08-15,CANCELLED
383,1993,2022-12-10,DELIVERED
384,1443,2023-01-16,SHIPPED
385,549,2025-03-01,SHIPPED
386,1633,2027-12-14,DELIVERED
387,812,2022-02-16,DELIVERED
388,634,2023-09-16,CANCELLED
389,1287,2023-02-09,DELIVERED
390,573,2022-07-07,DELIVERED
391,1374,2022-02-17,DELIVERED
392,1921,2027-05-25,DELIVERED
393,1669,2023-05-21,DELIVERED
394,523,2024-10-08,DELIVERED
395,1574,2025-01-29,CANCELLED
396,667,2022-09-25,DELIVERED
397,707,2022-06-29,DELIVERED
398,921,2024-06-25,CREATED
399,912,2023-07-15,SHIPPED
400,1041,2023-10-16,DELIVERED
401,119,2022-11-03,SHIPPED
402,1379,2024-03-09,SHIPPED
403,1906,2023-04-01,SHIPPED
404,1219,2023-11-07,SHIPPED
405,797,2022-03-07,DELIVERED
406,93,2023-03-06,SHIPPED
407,2,2023-09-06,DELIVERED
408,566,2024-07-30,DELIVERED
409,168,2024-05-22,CREATED
410,1546,2023-05-02,DELIVERED
411,720,2025-02-02,DELIVERED
412,1308,2025-02-27,CANCELLED
413,643,2024-12-03,DELIVERED
414,852,2024-04-01,CREATED
415,1,2022-02-23,SHIPPED
416,1063,2022-01-24,CREATED
417,603,2023-12-26,CANCELLED
418,1145,2022-04-23,DELIVERED
419,1245,2025-03-09,DELIVERED
420,1483,2024-02-05,CREATED
421,1665,2023-04-01,DELIVERED
422,887,,CREATED
423,1942,2022-10-30,DELIVERED
424,1963,2025-02-17,CANCELLED
425,36,2024-10-01,CANCELLED
426,1972,2023-03-27,SHIPPED
427,723,2022-12-01,CANCELLED
428,1656,2023-06-28,CREATED
429,1788,2022-05-30,CANCELLED
430,790,2027-07-15,DELIVERED
431,1415,2023-01-07,CANCELLED
432,1331,2023-04-16,CANCELLED
433,1932,2022-05-31,DELIVERED
434,1136,2024-06-02,CREATED
435,1367,2022-09-27,CANCELLED
436,1259,2023-03-30,SHIPPED
437,1041,2024-10-11,DELIVERED
438,453,2022-08-24,DELIVERED
439,1348,2024-10-31,DELIVERED
440,1806,2024-03-03,DELIVERED
441,1981,2023-08-14,DELIVERED
442,101,,DELIVERED
443,1590,2022-07-31,CANCELLED
444,1531,2024-04-13,DELIVERED
445,1024,2022-07-29,SHIPPED
446,871,2025-02-28,SHIPPED
447,828,2022-01-24,DELIVERED
448,1868,2024-10-24,CREATED
449,698,2024-03-26,DELIVERED
450,1874,2023-12-15,DELIVERED
451,562,2022-06-10,SHIPPED
452,736,2024-07-19,CANCELLED
453,648,2023-01-26,DELIVERED
454,800,2022-06-25,CANCELLED
455,1922,2023-08-09,DELIVERED
456,602,2024-02-08,CANCELLED
457,1603,2024-03-04,CREATED
458,1554,2024-03-10,DELIVERED
459,1573,2023-01-24,SHIPPED
460,1795,2025-01-28,DELIVERED
461,1333,2022-04-05,CREATED
462,1006,2023-08-28,CREATED
463,1950,2022-09-28,SHIPPED
464,368,2023-02-20,SHIPPED
465,2,2024-12-03,SHIPPED
466,800,2022-05-09,DELIVERED
467,1583,2022-11-04,CREATED
468,408,2022-06-29,SHIPPED
469,35,2023-11-06,DELIVERED
470,497,2022-11-03,CREATED
471,1809,2022-10-28,CANCELLED
472,464,2022-08-12,DELIVERED
473,576,2022-03-05,DELIVERED
474,544,2023-02-08,DELIVERED
475,1561,2025-01-19,SHIPPED
476,1901,2022-08-24,DELIVERED
477,1276,2025-03-04,CANCELLED
478,1338,2022-02-01,CANCELLED
479,637,2022-11-30,CANCELLED
480,1546,2024-06-10,DELIVERED
481,1992,2023-08-02,DELIVERED
482,1572,2023-09-08,DELIVERED
483,1012,2022-11-02,SHIPPED
484,415,2023-11-01,CREATED
485,1551,2023-01-18,DELIVERED
486,749,2023-04-17,DELIVERED
487,15,2023-06-21,DELIVERED
488,91,2024-12-26,CREATED
489,1427,2024-10-22,DELIVERED
490,642,2023-03-02,CREATED
491,1138,2024-01-08,DELIVERED
492,812,2022-09-20,CREATED
493,1841,2022-06-18,SHIPPED
494,250,2022-02-01,DELIVERED
495,1211,2024-02-22,CANCELLED
496,420,2023-03-14,CREATED
497,251,2024-01-13,SHIPPED
498,1911,2024-07-12,SHIPPED
499,52,2022-04-04,DELIVERED
500,1229,2024-10-13,DELIVERED
501,1469,2024-04-26,DELIVERED
502,1910,2024-09-02,DELIVERED
503,1808,2022-09-25,CREATED
504,446,2024-07-23,DELIVERED
505,591,2022-04-03,CANCELLED
506,470,2023-10-21,SHIPPED
507,923,2023-02-28,DELIVERED
508,1798,2024-12-11,SHIPPED
509,1481,2024-10-13,SHIPPED
510,1761,,DELIVERED
511,1469,2022-10-13,SHIPPED
512,1981,2023-01-06,DELIVERED
513,1901,2023-03-12,CANCELLED
514,985,2025-02-11,DELIVERED
515,1619,2027-04-03,DELIVERED
516,738,2024-06-01,DELIVERED
517,1352,2024-03-24,CREATED
518,373,2023-02-19,SHIPPED
519,1662,2023-07-22,DELIVERED
520,1348,2023-09-26,CANCELLED
521,536,2023-01-07,CREATED
522,1398,2022-06-30,DELIVERED
523,1921,2023-04-07,DELIVERED
524,1412,2024-04-21,DELIVERED
525,1680,2025-02-05,DELIVERED
526,151,2023-05-21,DELIVERED
527,1748,2024-04-19,SHIPPED
528,1002,2024-03-29,DELIVERED
529,430,2024-01-10,DELIVERED
530,183,2024-09-21,SHIPPED
531,1668,2025-02-11,CREATED
532,886,2024-10-03,CANCELLED
533,1662,2024-09-30,DELIVERED
534,154,2022-06-17,SHIPPED
535,631,2023-08-03,SHIPPED
536,321,2026-06-03,SHIPPED
537,1075,2024-03-17,CREATED
538,513,2024-07-31,DELIVERED
539,1349,2025-03-14,CANCELLED
540,1355,2022-02-24,DELIVERED
541,474,2024-03-03,DELIVERED
542,93,2023-01-07,DELIVERED
543,356,2022-04-28,DELIVERED
544,325,2023-07-01,CANCELLED
545,1542,2024-01-16,DELIVERED
546,1795,2024-09-28,DELIVERED
547,1267,2022-07-16,DELIVERED
548,375,2024-04-27,CREATED
549,1042,2025-02-04,DELIVERED
550,129,2022-03-13,CANCELLED
551,1929,2023-12-12,DELIVERED
552,1886,2023-08-24,DELIVERED
553,842,2023-07-15,SHIPPED
554,1004,2024-03-21,DELIVERED
555,719,2024-03-17,DELIVERED
556,1344,2024-03-04,DELIVERED
557,907,2022-06-10,SHIPPED
558,1749,2024-06-26,CANCELLED
559,266,2023-06-03,CREATED
560,1326,2022-01-12,DELIVERED
561,816,2023-10-07,CANCELLED
562,486,2024-06-22,DELIVERED
563,1583,2024-09-14,DELIVERED
564,1093,2024-02-01,CANCELLED
565,508,2024-04-13,DELIVERED
566,1882,2023-07-21,DELIVERED
567,1982,,CREATED
568,1661,2023-06-12,DELIVERED
569,290,2024-04-14,DELIVERED
570,885,2023-02-26,SHIPPED
571,875,2023-06-30,DELIVERED
572,885,2022-03-18,SHIPPED
573,403,2025-03-14,DELIVERED
574,110,2025-03-24,SHIPPED
575,367,2024-09-28,DELIVERED
576,1222,2023-11-03,CREATED
577,946,2024-09-01,DELIVERED
578,1768,2022-02-14,DELIVERED
579,1766,2024-01-31,SHIPPED
580,700,2022-02-16,CANCELLED
581,1406,2023-01-11,DELIVERED
582,1763,2024-12-17,DELIVERED
583,1304,2025-01-14,DELIVERED
584,1809,2024-03-28,CANCELLED
585,1008,2024-08-03,SHIPPED
586,1966,2022-07-29,DELIVERED
587,843,2024-10-22,DELIVERED
588,24,2024-09-29,DELIVERED
589,1731,2024-01-15,CREATED
590,74,2024-07-20,DELIVERED
591,1088,2027-02-16,DELIVERED
592,1575,2023-12-21,DELIVERED
593,1414,2022-01-15,CANCELLED
594,1053,2022-04-29,DELIVERED
595,1678,2024-11-02,SHIPPED
596,504,2022-06-19,DELIVERED
597,1698,2023-07-01,CANCELLED
598,1350,2025-03-18,CANCELLED
599,382,2022-03-10,DELIVERED
600,1690,2023-12-02,SHIPPED
601,741,2022-11-22,SHIPPED
602,1941,2024-04-03,DELIVERED
603,339,2023-05-19,DELIVERED
604,502,2022-03-02,DELIVERED
605,1649,2022-05-04,DELIVERED
606,241,2022-10-26,CANCELLED
607,2000,2023-10-31,CREATED
608,1089,2022-10-14,DELIVERED
609,1060,2022-09-16,DELIVERED
610,1420,2022-03-08,DELIVERED
611,609,2024-12-22,SHIPPED
612,1550,2024-09-21,DELIVERED
613,1533,2022-11-04,SHIPPED
614,1078,2022-08-03,DELIVERED
615,1390,2023-01-20,DELIVERED
616,270,2023-12-29,CANCELLED
617,748,2024-08-14,DELIVERED
618,163,2023-11-21,CANCELLED
619,254,2025-03-23,DELIVERED
620,622,2023-06-21,DELIVERED
621,31,2023-08-26,DELIVERED
622,1732,2023-10-29,DELIVERED
623,834,2023-08-18,CREATED
624,846,2024-01-10,SHIPPED
625,431,2024-01-25,CANCELLED
626,1550,2022-10-02,DELIVERED
627,1573,2024-07-14,DELIVERED
628,369,2024-01-28,SHIPPED
629,304,2023-08-14,DELIVERED
630,1261,2022-03-20,CREATED
631,746,2023-08-06,DELIVERED
632,1836,2023-06-28,CANCELLED
633,405,2025-02-28,SHIPPED
634,676,2024-01-16,DELIVERED
635,923,2024-06-01,DELIVERED
636,254,2022-11-14,CANCELLED
637,814,2024-01-09,SHIPPED
638,232,2023-02-18,SHIPPED
639,115,2023-11-26,SHIPPED
640,724,2023-12-30,DELIVERED
641,1642,2023-01-19,CANCELLED
642,440,2023-02-21,DELIVERED
643,1763,2024-04-29,DELIVERED
644,1554,2022-01-16,SHIPPED
645,855,2022-04-15,SHIPPED
646,1394,2024-08-23,DELIVERED
647,936,2023-04-20,SHIPPED
648,1262,2023-05-12,CANCELLED
649,1958,2024-11-26,CANCELLED
650,181,2022-03-10,DELIVERED
651,191,2022-08-10,DELIVERED
652,100,2022-03-09,DELIVERED
653,445,2025-03-14,DELIVERED
654,1364,2023-04-29,DELIVERED
655,1950,2022-05-09,DELIVERED
656,1924,2024-07-10,DELIVERED
657,828,2023-05-24,DELIVERED
658,17,2025-01-18,SHIPPED
659,1522,2024-04-08,DELIVERED
660,629,2023-07-17,DELIVERED
661,1402,2022-12-07,DELIVERED
662,1217,2023-11-02,DELIVERED
663,1751,2023-09-12,SHIPPED
664,1360,2022-06-30,SHIPPED
665,1625,2025-03-11,DELIVERED
666,1655,2024-06-14,DELIVERED
667,1929,2022-11-09,DELIVERED
668,1138,2025-03-03,DELIVERED
669,857,2024-11-29,CREATED
670,1720,2022-10-12,DELIVERED
671,1291,2022-10-07,SHIPPED
672,464,2024-08-15,SHIPPED
673,793,2022-05-12,SHIPPED
674,1067,2023-11-01,DELIVERED
675,672,2024-02-28,DELIVERED
676,1357,2024-03-28,DELIVERED
677,1641,2027-05-28,DELIVERED
678,1741,2022-09-27,CANCELLED
679,1309,2023-06-08,CANCELLED
680,340,2024-08-14,CREATED
681,396,2023-05-30,DELIVERED
682,1403,2024-11-10,DELIVERED
683,282,2022-04-14,SHIPPED
684,1081,2023-12-13,DELIVERED
685,1285,2022-07-27,SHIPPED
686,1113,2022-06-29,DELIVERED
687,1454,2025-02-26,DELIVERED
688,420,2023-01-17,CANCELLED
689,572,2026-07-12,SHIPPED
690,1524,2024-11-01,DELIVERED
691,745,2022-11-06,CREATED
692,1718,2023-08-29,DELIVERED
693,684,2022-09-29,DELIVERED
694,196,2022-08-20,DELIVERED
695,397,2022-04-02,SHIPPED
696,1837,2024-01-21,CREATED
697,314,2022-10-14,CREATED
698,1917,2023-02-16,DELIVERED
699,1709,2022-11-14,CREATED
700,510,2022-06-28,SHIPPED
701,360,2023-03-30,SHIPPED
702,1045,2022-02-15,DELIVERED
703,307,2024-05-12,DELIVERED
704,1289,2024-08-26,DELIVERED
705,16,2023-12-31,CANCELLED
706,1127,2024-09-25,CREATED
707,1583,2022-05-26,CANCELLED
708,930,2023-02-19,DELIVERED
709,1177,2027-06-15,DELIVERED
710,578,2023-10-17,CANCELLED
711,115,2024-06-24,DELIVERED
712,466,2022-03-07,CREATED
713,1083,2023-11-16,DELIVERED
714,293,2022-03-12,SHIPPED
715,1455,2023-09-17,DELIVERED
716,454,2023-01-25,SHIPPED
717,854,,DELIVERED
718,1434,2023-09-12,SHIPPED
719,1107,2023-08-01,CREATED
720,920,2022-03-09,DELIVERED
721,1980,2023-07-07,DELIVERED
722,1790,2022-12-14,DELIVERED
723,1886,2025-03-03,DELIVERED
724,767,2024-02-19,DELIVERED
725,727,2022-07-13,DELIVERED
726,490,2022-03-04,DELIVERED
727,744,2022-06-21,DELIVERED
728,1333,2022-05-31,DELIVERED
729,1024,2022-02-27,DELIVERED
730,790,2023-12-19,DELIVERED
731,727,2022-11-02,CANCELLED
732,957,2022-02-13,DELIVERED
733,14,2027-12-03,SHIPPED
734,657,2024-05-21,CREATED
735,1356,2022-11-24,DELIVERED
736,1347,2024-02-24,DELIVERED
737,1050,2022-02-10,DELIVERED
738,452,2024-06-11,DELIVERED
739,1171,2022-01-08,DELIVERED
740,403,2022-10-06,DELIVERED
741,1903,2024-12-08,DELIVERED
742,174,2023-07-23,DELIVERED
743,1805,2022-07-25,CREATED
744,1229,2024-04-01,SHIPPED
745,652,2024-01-12,DELIVERED
746,1675,2022-12-09,CREATED
747,1989,2023-02-24,DELIVERED
748,1913,2024-07-30,DELIVERED
749,721,2022-04-02,CREATED
750,1801,2024-12-11,DELIVERED
751,268,2022-08-20,DELIVERED
752,578,2024-10-19,DELIVERED
753,1276,2023-11-14,DELIVERED
754,1238,2025-03-31,DELIVERED
755,74,2022-06-14,DELIVERED
756,1312,2025-03-29,CREATED
757,1165,2024-05-10,CANCELLED
758,77,2023-03-12,DELIVERED
759,82,2023-10-20,DELIVERED
760,1604,2024-09-04,DELIVERED
761,1413,2022-12-18,CREATED
762,1006,2023-06-04,DELIVERED
763,1211,2023-02-08,SHIPPED
764,339,2022-09-19,CREATED
765,884,,CANCELLED
766,1405,2024-06-18,DELIVERED
767,1978,2024-09-14,DELIVERED
768,162,2024-07-28,SHIPPED
769,619,2023-10-16,SHIPPED
